model	participant	sex	session	origin	block	days_since_start	block_timespan_in_days	accuracy_mean	accuracy_std	accuracy_sem	accuracy_weighted_mean	p_value_mean	p_value_std	bayes_factor_mean	bayes_factor_std	bayes_factors_area_above	bayes_factors_area_below	accuracy_euclidean_dist	accuracy_manhattan_dist	accuracy_dtw_dist	accuracy_pearson_corr
LinearDiscriminantAnalysis	1	M	1	TRAIN	BASE	5.0	8.0	0.5072215140791888	0.006254774331695339	0.00409768074832045	0.5072203907299475	0.24715556464017915	0.3394295426941618	0.37167610058312256	0.4856854096516831	3.2597773044809055	2.2897137831170213	0.0	0.0	0.0	0.0
LinearDiscriminantAnalysis	1	M	5	TRAIN	EARLY	13.666666666666666	3.0	0.5056195355273412	0.006281694420489874	0.0038649524929501877	0.5055076208084305	0.3206429098738574	0.38044495092573943	0.2926552608825872	0.4858212641057063	2.673847216402947	2.3486319213598637	0.12871023615883423	1.7126739037062944	1.0452867715337595	0.4721682703979808
LinearDiscriminantAnalysis	1	M	5	PREDICT	EARLY	13.666666666666666	3.0	0.5102730080999927	0.006203887314777206	0.004551800557593876	0.5097039426619969	0.13993913267722408	0.21352391495262593	0.45346832470663756	0.44328490337905774	2.7838099958729616	2.204898300537491	0.12871023615883423	1.7126739037062944	1.0452867715337595	0.4721682703979808
LinearDiscriminantAnalysis	1	M	10	TRAIN	LATE	28.0	2.0	0.5033851283634775	0.005954510534484247	0.003719285531880823	0.5029696821183536	0.4064151744929533	0.4066202925017856	0.15658697216490183	0.4992939216623508	2.671311720661767	2.43197777617168	0.13322502829403732	1.796007285046902	1.0670363112863916	0.25198640022699015
LinearDiscriminantAnalysis	1	M	10	PREDICT	LATE	28.0	2.0	0.505930705846297	0.006960569642437858	0.004632994702438364	0.5056089508243863	0.3269278360848818	0.37045397015790826	0.2260001796628304	0.4390052070229766	2.4985324698177513	2.39375941034196	0.13322502829403732	1.796007285046902	1.0670363112863916	0.25198640022699015
LinearDiscriminantAnalysis	2	M	1	TRAIN	BASE	2.3333333333333335	6.0	0.5330870917108698	0.02186613013174649	0.005453484959946102	0.5283963453454354	0.06425731571449884	0.18007294685017586	1.238169757632357	0.7963729577190714	4.264172369094657	1.7701374144860227	0.0	0.0	0.0	0.0
LinearDiscriminantAnalysis	2	M	5	TRAIN	EARLY	10.666666666666666	3.0	0.5345078514744299	0.021075671138027854	0.005165964695397192	0.5305105309490643	0.0417990613400321	0.11348484878337821	1.3187361676400964	0.7701740878206103	4.428920916761322	1.6822624374019486	0.16066483186364908	2.1061767737520176	1.3628337243973314	0.9299253192282018
LinearDiscriminantAnalysis	2	M	5	PREDICT	EARLY	10.666666666666666	3.0	0.528448868404536	0.018171692599876558	0.004967337286132132	0.52359136514283	0.03572013277004444	0.09902895094890743	1.1517594713888128	0.6374404452831434	3.800463986784114	1.6052188252788244	0.16066483186364908	2.1061767737520176	1.3628337243973314	0.9299253192282018
LinearDiscriminantAnalysis	2	M	9	TRAIN	LATE	19.666666666666668	3.0	0.529732993608129	0.018959671125404826	0.005350342166617537	0.5252910680064559	0.06385763817486656	0.16013288562049727	1.1277195852095996	0.7169963937291535	3.875855758376168	1.7908971090343673	0.14599408945043205	1.995513559931248	1.246831894197304	0.9317340539075756
LinearDiscriminantAnalysis	2	M	9	PREDICT	LATE	19.666666666666668	3.0	0.5237928682617107	0.016999395550970096	0.004292108507022061	0.5201707464490303	0.06250912278803508	0.16167056505199204	1.0884194453952167	0.7426891038179141	4.01066352604496	1.8131805325860118	0.14599408945043205	1.995513559931248	1.246831894197304	0.9317340539075756
LinearDiscriminantAnalysis	3	M	1	TRAIN	BASE	3.0	7.0	0.5149328428232821	0.013627226179879	0.00468119721325655	0.5135907777495105	0.23187117704369045	0.37081348196513153	0.6741500288270792	0.6956446753489656	3.516341649899037	2.1401150518957146	0.0	0.0	0.0	0.0
LinearDiscriminantAnalysis	3	M	5	TRAIN	EARLY	24.666666666666668	9.0	0.5176546855677147	0.015238975039563164	0.004395457428530623	0.5153731928335826	0.20024092774623076	0.34760751603545853	0.8115576446560651	0.7826207586144187	3.721592836515983	2.116717299877443	0.12581622167987436	1.6552432234843917	1.1688137549823607	0.8662072604650617
LinearDiscriminantAnalysis	3	M	5	PREDICT	EARLY	24.666666666666668	9.0	0.51661316321592	0.014012866356544014	0.0044001001561999355	0.5154947478351081	0.1539773957696944	0.27716250112238017	0.797192734007942	0.7324898092267432	3.826974221513668	2.079868335175173	0.12581622167987436	1.6552432234843917	1.1688137549823607	0.8662072604650617
LinearDiscriminantAnalysis	3	M	10	TRAIN	LATE	43.0	2.0	0.5157709993418997	0.014159672831914773	0.00438486327674447	0.5133972238779798	0.19286290583566906	0.314961822676782	0.7012964727445797	0.726896283165117	3.5641563271489987	2.1713138973449957	0.14162374143912992	1.8022901560954088	1.182674454243951	0.7994933768662513
LinearDiscriminantAnalysis	3	M	10	PREDICT	LATE	43.0	2.0	0.5145787392110559	0.01025891310029913	0.004136165935409583	0.5134361540369486	0.13824725027651788	0.28707447043757817	0.7706065830432165	0.6613866401756048	3.6318303016864855	2.0071031105036377	0.14162374143912992	1.8022901560954088	1.182674454243951	0.7994933768662513
